id,lat,lon
1000216,-28.3509,153.58
1000217,-28.3519,153.5801
1000218,-28.3529,153.5804
1000219,-28.3538,153.5808
1000220,-28.3547,153.5812
1000221,-28.3556,153.5815
1000222,-28.3563,153.582
1000223,-28.3569,153.5828
1000224,-28.3574,153.5836
1000225,-28.3581,153.5844
1000226,-28.3588,153.5848
1000227,-28.3598,153.5847
1000228,-28.3605,153.5842
1000229,-28.3612,153.5836
1000230,-28.3621,153.5834
1000231,-28.363,153.5831
1000232,-28.3639,153.5827
1000233,-28.3649,153.5824
1000234,-28.3658,153.5819
1000235,-28.3667,153.5815
1000236,-28.3675,153.5811
1000237,-28.3684,153.5807
1000238,-28.3694,153.5803
1000239,-28.3703,153.58
1000240,-28.3712,153.5796
1000241,-28.3721,153.5792
1000242,-28.3731,153.5788
1000243,-28.374,153.5785
1000244,-28.375,153.5783
1000245,-28.376,153.578
1000246,-28.3769,153.5778
1000247,-28.3779,153.5775
1000248,-28.3788,153.5772
1000249,-28.3798,153.577
1000250,-28.3808,153.5768
1000251,-28.3818,153.5766
1000252,-28.3828,153.5764
1000253,-28.3837,153.5762
1000254,-28.3847,153.5759
1000255,-28.3857,153.5756
1000256,-28.3866,153.5754
1000257,-28.3876,153.5751
1000258,-28.3885,153.5748
1000259,-28.3895,153.5746
1000260,-28.3904,153.5742
1000261,-28.3914,153.5739
1000262,-28.3924,153.5736
1000263,-28.3933,153.5733
1000264,-28.3943,153.573
1000265,-28.3952,153.5727
1000266,-28.3962,153.5726
1000267,-28.3972,153.5723
1000268,-28.3982,153.5722
1000269,-28.3991,153.5719
1000270,-28.4001,153.5717
1000271,-28.4011,153.5716
1000272,-28.4021,153.5715
1000273,-28.4031,153.5714
1000274,-28.4041,153.5711
1000275,-28.405,153.571
1000276,-28.406,153.5708
1000277,-28.407,153.5704
1000278,-28.4079,153.5701
1000279,-28.4089,153.5699
1000280,-28.4099,153.5699
1000281,-28.4109,153.5697
1000282,-28.4119,153.5695
1000283,-28.4128,153.5691
1000284,-28.4137,153.5688
1000285,-28.4147,153.5684
1000286,-28.4156,153.5681
1000287,-28.4166,153.5679
1000288,-28.4176,153.5677
1000289,-28.4185,153.5674
1000290,-28.4195,153.5671
1000291,-28.4205,153.5668
1000292,-28.4214,153.5665
1000293,-28.4224,153.5663
1000294,-28.4233,153.566
1000295,-28.4243,153.5659
1000296,-28.4253,153.5657
1000297,-28.4263,153.5655
1000298,-28.4272,153.5652
1000299,-28.4282,153.565
1000300,-28.4292,153.5648
1000301,-28.4302,153.5648
1000302,-28.4312,153.5646
1000303,-28.4321,153.5643
1000304,-28.4331,153.5641
1000305,-28.4341,153.5639
1000306,-28.4351,153.5637
1000307,-28.4361,153.5635
1000308,-28.437,153.5633
